Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1341,Three Wheeler-Lease-Registered,60+,15,2009,61,180000,120000+,22,0.605799708,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 1 - 5 percentage,less than 2 percentage,Red
1342,CASH IN HAND,24-36,14,2010,31,70000,60000-80000,43,0.645443077,Low_risk_sub_purpose_code,60-80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
1343,Three Wheeler-Lease-Registered,24-36,16,2008,31,100000,100000-120000,37,0.456965217,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
1344,Three Wheeler-Lease-Registered,36-48,19,2005,37,150000,120000+,55,0.497140133,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1345,Three Wheeler-Lease-Registered,36-48,10,2014,37,100000,100000-120000,24,0.644211236,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1346,CASH IN HAND,24-36,15,2009,31,70000,60000-80000,34,0.456682148,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
1347,Three Wheeler-Lease-Registered,60+,16,2008,60,70000,60000-80000,48,0.91120534,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
1350,CASH IN HAND,60+,5,2019,61,50000,40000-60000,62,0.516471562,Low_risk_sub_purpose_code,40-60,between 100 - 150 percentage,between 1 - 5 percentage,less than 2 percentage,Red
1352,CASH IN HAND,< 24,16,2008,19,60000,60000-80000,39,0.315055484,Low_risk_sub_purpose_code,0-20,less than 50 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
1353,Three Wheeler-Lease-Registered,24-36,9,2015,25,150000,120000+,49,0.669898076,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
1354,CASH IN HAND,36-48,14,2010,37,75000,60000-80000,27,0.451193837,Low_risk_sub_purpose_code,0-20,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
1355,CASH IN HAND,60+,12,2012,61,60000,60000-80000,42,0.475656989,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
1357,Three Wheeler-Lease-Registered,48-60,18,2006,49,50000,40000-60000,33,0.443508571,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
1358,Three Wheeler-Lease-Registered,60+,11,2013,61,150000,120000+,38,0.783052381,Low_risk_sub_purpose_code,40-60,less than 50 percentage,above 15 percentage,above 10 percentage,Green
1360,CASH IN HAND,< 24,18,2006,19,100000,100000-120000,42,0.643932857,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Red
1361,Three Wheeler-Lease-Registered,36-48,12,2012,37,135000,120000+,19,0.627481915,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1362,Three Wheeler-Lease-Registered,48-60,15,2009,49,100000,100000-120000,32,0.629679461,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 10 - 15 percentage,between 5- 10 percentage,Red
1363,Three Wheeler-Lease-Registered,36-48,12,2012,37,50000,40000-60000,41,0.33395,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
1365,CASH IN HAND,48-60,11,2013,49,150000,120000+,50,0.753728846,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1366,CASH IN HAND,36-48,13,2011,43,120000,120000+,45,0.708843355,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1368,Three Wheeler-Lease-Registered,24-36,14,2010,31,90000,80000-100000,51,0.550305023,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
1369,Three Wheeler-Lease-Registered,36-48,13,2011,37,150000,120000+,28,0.524679648,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1370,CASH IN HAND,60+,12,2012,61,50000,40000-60000,36,0.60359122,Medium_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Red
1371,Three Wheeler-Lease-Registered,48-60,17,2007,49,90000,80000-100000,33,0.773991456,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1372,CASH IN HAND,36-48,10,2014,37,75000,60000-80000,53,0.627444162,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
